1,0,"(array([-0.5002124,  0.8432386], dtype=float32), 2)"
2,0,"(array([0.94265974, 0.18080872], dtype=float32), 1)"
3,0,"(array([ 0.31763566, -0.06735288], dtype=float32), 2)"
4,0,"(array([-0.27284253, -0.37676692], dtype=float32), 1)"
5,0,"(array([-0.09220042,  0.75145775], dtype=float32), 2)"
6,0,"(array([ 0.10857509, -0.45753297], dtype=float32), 1)"
7,0,"(array([ 0.03647898, -0.862999  ], dtype=float32), 2)"
8,0,"(array([ 0.3493823 , -0.47276688], dtype=float32), 1)"
9,0,"(array([ 0.93156123, -0.1991373 ], dtype=float32), 0)"
10,0,"(array([0.5698482 , 0.24488153], dtype=float32), 1)"
11,0,"(array([0.9504145, 0.7902073], dtype=float32), 2)"
12,0,"(array([ 0.52311635, -0.23643422], dtype=float32), 0)"
13,0,"(array([-0.07504653, -0.11216414], dtype=float32), 2)"
14,0,"(array([0.4510433 , 0.50878936], dtype=float32), 0)"
15,0,"(array([-0.87708724,  0.48106354], dtype=float32), 1)"
16,0,"(array([0.867576 , 0.5556294], dtype=float32), 2)"
17,0,"(array([0.11134809, 0.2271948 ], dtype=float32), 1)"
18,0,"(array([ 0.19199452, -0.93352526], dtype=float32), 1)"
19,0,"(array([0.65471196, 0.36989537], dtype=float32), 2)"
20,0,"(array([ 0.31774208, -0.792574  ], dtype=float32), 2)"
21,0,"(array([-0.85043734, -0.78276646], dtype=float32), 2)"
22,0,"(array([-0.11593372,  0.13996276], dtype=float32), 2)"
23,0,"(array([0.00437259, 0.59654564], dtype=float32), 1)"
24,0,"(array([-0.9493704 , -0.44150728], dtype=float32), 2)"
25,0,"(array([-0.15376535,  0.8908139 ], dtype=float32), 1)"
26,0,"(array([-0.19452737,  0.7809551 ], dtype=float32), 0)"
27,0,"(array([ 0.36940166, -0.84731066], dtype=float32), 1)"
28,0,"(array([-0.62681097,  0.05568253], dtype=float32), 1)"
29,0,"(array([0.26221746, 0.48378006], dtype=float32), 1)"
30,0,"(array([-0.04783509,  0.19264181], dtype=float32), 2)"
31,0,"(array([ 0.07162993, -0.5609994 ], dtype=float32), 1)"
32,0,"(array([ 0.03660143, -0.0344106 ], dtype=float32), 2)"
33,0,"(array([0.20214164, 0.7750061 ], dtype=float32), 2)"
34,0,"(array([ 0.11278103, -0.55572265], dtype=float32), 1)"
35,0,"(array([0.5367566, 0.7478145], dtype=float32), 0)"
36,0,"(array([0.8295011 , 0.17671543], dtype=float32), 0)"
37,0,"(array([0.09415096, 0.41330606], dtype=float32), 1)"
38,0,"(array([ 0.4353624 , -0.69944847], dtype=float32), 1)"
39,0,"(array([-0.21989349,  0.5407745 ], dtype=float32), 1)"
40,0,"(array([-0.7914002 , -0.70986795], dtype=float32), 0)"
41,0,"(array([0.74362826, 0.723112  ], dtype=float32), 1)"
42,0,"(array([-0.5983638 , -0.13601457], dtype=float32), 0)"
43,0,"(array([0.62529916, 0.42792368], dtype=float32), 2)"
44,0,"(array([0.6390621 , 0.22617665], dtype=float32), 1)"
